Time,Condor,Latitude,Longitude,Altitude
0.12,190,36.4818,-121.1809,213
0.22,1031,36.4836,-121.1879,198
0.25,1031,36.4838,-121.186,210
0.28,1031,36.4818,-121.1809,256
